RelA.Amplitude,RelA.Peaktime,RelA.AUC,RelA.NOC,RelA.Duration,RelA.1st.rising.slope,RelA.Attenuation.rate,RelA.Period,cRel.Amplitude,cRel.Peaktime,cRel.AUC,cRel.NOC,cRel.Duration,cRel.1st.rising.slope,cRel.Attenuation.rate,cRel.Period,ligand
638.5685616,0.466666667,17513.14334,3,8.866666667,787.1679361,-17.77500425,3.15,621.2895338,1.4,20234.76739,2,12.13333333,459.4686945,-2.009708099,1.575,1
648.9123702,1.05,23056.5859,0,12.6,464.7670657,-7.676880969,12.6,576.532113,1.283333333,27069.46293,0,12.6,268.473662,-69.62083863,12.6,1
995.2603214,0.466666667,32018.9953,0,9.45,849.8496634,-55.68608267,12.6,682.5673479,1.283333333,26534.0575,0,12.6,776.92168,-29.98946087,12.6,1
655.7397525,0.466666667,16681.69407,1,12.13333333,618.9564228,-6.53416967,2.1,543.9833755,0.7,21569.15611,2,12.6,312.1339796,-7.504842064,3.15,1
1091.187662,1.166666667,35089.26638,1,11.55,1053.700433,-48.77258181,1.8,789.7139265,1.4,31713.45641,1,12.48333333,557.6713734,-18.8262608,1.8,1
444.9648426,0.35,21171.83164,1,12.6,619.3612544,-22.0861537,1.8,700.0707054,0.466666667,51311.40352,0,12.6,284.2700453,-34.33169196,12.6,1
731.549359,0.466666667,39631.61452,1,12.6,853.5092164,-1.286534945,3.15,707.6594382,1.283333333,39808.53572,1,12.48333333,466.7240745,7.689057136,1.575,1
904.6946224,0.466666667,31230.42469,0,9.916666667,826.1132087,-56.19942716,12.6,588.8680521,1.283333333,24695.29882,1,12.6,428.6918867,-17.42221913,1.8,1
680.0581789,0.35,31030.97158,0,5.6,298.3818589,-68.28709318,12.6,464.9380351,0.466666667,19568.18083,0,10.96666667,183.8539456,-30.62111195,12.6,1
1190.508905,0.466666667,40920.8827,2,10.5,1605.716847,-34.87553596,3.15,1001.271605,1.866666667,51240.76921,3,11.08333333,647.130502,41.09612538,2.52,1
328.5831826,0.35,12986.22085,1,11.31666667,191.9669415,-14.22899017,2.52,529.1513163,1.516666667,16182.07158,1,11.55,103.8087584,-17.4817395,2.1,1
833.6196844,0.933333333,21601.85894,1,7.933333333,14.58743407,-36.61108874,3.15,979.9279598,1.75,33404.9911,2,12.48333333,673.7621249,-20.13393855,3.15,1
628.1771758,0.583333333,22346.04522,1,8.866666667,784.280181,-46.40881708,2.52,463.2904735,1.05,15609.48549,1,10.03333333,412.2696461,-22.78226779,2.52,1
778.2172503,0.933333333,24290.05547,2,7.816666667,798.0659375,-53.94116383,1.4,688.9854178,1.4,22780.3932,0,11.9,384.0184508,-28.95168297,12.6,1
924.2859014,0.816666667,35409.5631,0,12.25,1569.647261,-46.28096068,12.6,792.5719552,1.516666667,38189.36178,0,12.48333333,773.1210628,-23.27395692,12.6,1
908.56081,0.35,41681.13186,4,11.78333333,1116.495632,-21.41409663,3.15,1013.48536,1.75,48011.82052,4,12.6,641.1597612,0.660777264,3.15,1
990.3872473,0.933333333,27500.12018,0,7.466666667,766.6761027,-54.75137861,12.6,579.8504571,1.166666667,19177.41611,0,11.08333333,289.1645145,-33.04974664,12.6,1
910.900504,0.7,32199.00884,0,8.75,747.1107073,-56.29850618,12.6,643.1713388,1.516666667,25361.12104,2,12.48333333,559.9461907,-21.82963651,1.26,1
739.1495733,0.466666667,23877.95068,0,11.66666667,1358.287789,-35.90043457,12.6,892.4905888,1.283333333,29750.24142,0,12.6,906.1912772,-30.72473648,12.6,1
854.7889193,0.933333333,22543.24817,0,8.166666667,553.473991,-38.31878862,12.6,660.2972652,1.4,20900.87575,0,11.55,387.6040268,-27.15330037,12.6,1
555.4504659,0.466666667,15972.75174,1,10.03333333,647.2492065,-20.22531985,3.15,745.9062654,1.75,19510.5503,0,12.13333333,285.6544678,-18.53072872,12.6,1
1263.134796,0.466666667,36923.84364,2,9.1,1559.582923,-55.48942401,2.52,964.770059,1.4,29837.53966,1,12.01666667,609.8651944,-23.83471274,0.969230769,1
729.0067319,0.466666667,17784.41948,0,10.85,288.9392388,-19.77415136,6.3,502.2707236,1.166666667,18431.88792,0,12.6,431.1320216,-16.87678282,6.3,1
569.2699812,0.7,17049.68937,0,11.31666667,735.0220083,-23.72688875,12.6,669.3671916,0.816666667,21604.17308,3,12.6,363.3817162,3.290544301,1.8,1
828.0432926,0.7,23060.82099,3,7.35,1006.643657,-36.278513,2.1,946.6909893,1.4,22382.4511,0,8.4,437.7907157,-32.61393658,12.6,1
1043.186585,0.933333333,32258.23491,1,9.8,1166.451967,-49.6489564,2.1,766.6653548,1.283333333,22732.32573,0,10.96666667,605.8543235,-28.85700486,12.6,1
570.5820612,0.466666667,23370.14381,1,11.2,776.5427654,-24.76581098,3.15,633.3212914,1.516666667,28428.12059,0,12.48333333,327.1397548,-12.94454231,6.3,1
609.4899222,1.05,35447.24374,1,12.6,568.9711835,-0.118722944,2.52,753.1454395,1.166666667,43452.29855,2,12.6,414.7445317,11.22847352,2.52,1
770.2919958,0.466666667,38237.57614,1,12.6,900.6293798,-21.26679663,3.15,786.332333,1.4,34281.6621,1,12.6,508.424151,-11.81210618,3.15,1
663.2488317,1.05,21261.32412,2,10.15,457.9868376,-26.33697366,3.15,816.5365008,1.166666667,39303.74999,1,12.6,491.9994178,-8.040964527,2.52,1
1054.227445,0.466666667,37043.70996,0,8.283333333,773.2747799,-73.81606996,12.6,860.1692366,1.516666667,32865.41747,0,12.48333333,462.1983399,-38.05021376,12.6,1
952.9139791,0.583333333,37823.21578,0,12.48333333,1605.897149,-41.09126844,12.6,741.3241183,1.4,27793.22775,1,12.36666667,498.3876741,-21.74875715,1.4,1
